product_id,product_type,product_name,description
55,transport_cashback,ankar_cashback,7% cashback on all purchases at the Ankar auto repair center chain which specializes in repairing cars of all makes and models and offering a full range of services
56,beauty_cashback,loksitan_cashback,4% cashback on your first purchase on the website and in L'Occitane retail stores - natural French cosmetics and perfumes from Provence
57,beauty_cashback,yves_rocher_cashback,15% cashback for your first online purchase from 1000₽. Yves Rocher is a French cosmetics company specializing in plant-based cosmetics and perfumery
58,beauty_discount,rive_gauche_discount,10% discount on purchases from 5000₽. Rive Gauche is one of the largest federal premium segment chains in the beauty industry
59,house_discount,tsvet_divanov_discount,5% discount on all products using promo code SPB5
60,transport_cashback,gruzovichkof_cashback,5% cashback when paying for transport and logistics services on the website or in the mobile app
61,house_cashback,bestmebel_cashback,4% cashback for all purchases in the online store. BestMebel is a manufacturer of quality and affordable furniture for home and office
62,services,pro32_cashback,10% cashback for your first purchase of home antivirus in the PRO32 online store. Pro32 is a provider of effective IT solutions for businesses and government structures and home users
63,services,ndflka_cashback,10% cashback for your first purchase on the website of the online service for tax refund and payment
64,gifts_cashback,my_gift_card_cashback,Up to 15% cashback for all purchases on the website. Giving is easy - online store of gift certificates for friends and loved ones
65,entertainment_discount,litres_cashback,15% cashback for your first purchase on the website. LitRes is the largest service for e-books and audiobooks with a huge catalog for every taste
66,services,yandex_plus_service,Yandex Plus subscription and/or option for 0₽. Yandex Plus is a multi-subscription for 4 people that provides access to entertainment services: Yandex Music and Kinopoisk and Yandex Books. Plus subscribers also get additional features in Yandex services. With the "Your Pluses in S7 Airlines" option you get S7 Airlines miles and the same number of Plus points for orders in Yandex services as well as other bonuses for profitable trips
67,food_delivery_cashback,chibbis_cashback,25% cashback for your first online order on the Chibbis website or app. Chibbis is a food delivery aggregator in 200 cities across Russia
68,education_discount,russian_management_school_discount,20% discount on all business school courses using promo code PSB_20
69,kids_cashback,bubble_gum_cashback,10% cashback for purchases in the Bubble Gum online store of children's goods
70,clothes_cashback,kari_cashback,10% cashback for your first purchase in KARI retail stores. KARI is an international retail chain of shoe and accessory stores for adults and children
71,gifts_cashback,flowwow_discount,15% discount on your first order. Flowwow is a marketplace for flowers and gifts and another language of love
72,entertainment_discount,panorama360_discount,10% discount using promo code PSB for purchasing a standard entrance ticket. The PANORAMA360 observation deck is located in the Moscow-City business center on the 89th floor of the Federation Tower East
73,entertainment_discount,sun_of_moscow_discount,10% discount using promo code PSB10 for purchasing a ticket for the Ferris wheel
74,food_discount,yandex_lavka_discount,Up to 40% discount on your first order. Yandex Lavka is an express delivery service for groceries and ready-made and hot food from 15 minutes
75,mortgage,family_mortgage,Family mortgage program with PSC 21.514-31.537% and rate from 5.9% and down payment from 20.01%
76,mortgage,state_program_new_subjects,State program for new regions with PSC 21.186-31.537% and rate 2% and down payment from 10.01%
77,mortgage,military_mortgage_new_subjects,Military mortgage for new regions with PSC 2.315-2.603% and rate 2% and amount up to 6 million rubles
78,mortgage,apartment_pledge_credit,Credit with apartment as collateral with PSC 27.832-39.809% and rate from 25.7% and amount up to 30 million rubles
79,mortgage,military_refinancing,Military mortgage refinancing with PSC 6.001-21.683% and rate from 6.0% and amount up to 5100000 rubles
80,mortgage,secondary_housing,Secondary housing mortgage with PSC 20.217-45.837% and rate from 19.49% and down payment from 20.01%
81,mortgage,new_building,New construction mortgage with PSC 19.993-45.837% and rate from 19.49% and down payment from 20.01%
82,mortgage,family_military_mortgage,Family military mortgage with PSC 6.001-6.184% and rate 6.0% and amount up to 5125000 rubles
83,mortgage,military_mortgage_standard,Standard military mortgage with PSC 19.001-20.741% and rate from 19.0% and amount up to 1955000 rubles
84,mortgage,mortgage_refinancing,Mortgage refinancing with PSC 22.428-39.809% and rate from 19.69% and amount up to 20 million rubles
85,mortgage,far_east_arctic_mortgage,Far Eastern and Arctic mortgage with PSC 21.019-31.537% and rate 2% and down payment from 20.01%
86,mortgage,state_support_mortgage,State-supported mortgage programs for various categories of borrowers
87,insurance_and_service_products,be_healthy_insurance,Comprehensive health examination and treatment for the whole family for 15000₽ with 24/7 telemedicine access and leading clinics like Mother and Child and Medsi and Scandinavia
88,insurance_and_service_products,my_territory_insurance,Property insurance for 10000₽ with 24/7 protection and can be arranged in 5 minutes at any PSB office without property inspection
89,insurance_and_service_products,primary_housing_inspection,Primary housing acceptance inspection with expert lawyers and engineers with their equipment in partnership with Legal Solutions LLC and online arrangement from home or any PSB office
90,insurance_and_service_products,life_savings_insurance,Life savings insurance with 13% tax refund on each payment and legal privileges where money cannot be confiscated or divided in divorce and investment income protecting against inflation
91,insurance_and_service_products,consumer_loan_borrower_insurance,Consumer loan borrower insurance that reduces loan rate with 24/7 worldwide support and convenient arrangement together with the loan
92,insurance_and_service_products,mortgage_borrower_insurance,Mortgage borrower insurance that reduces mortgage rate with no restrictions and you can choose insurance company yourself and arrangement together with the loan
93,insurance_and_service_products,multi_lawyer_service,Multi-lawyer service from 5000₽ where service value in certificate is much higher than its cost and can be arranged in 5 minutes at any PSB office
94,insurance_and_service_products,deposit_protection_insurance,Deposit protection insurance up to 400000₽ compensation for lost interest in case of insurance event with flexible terms for any new or existing PSB deposits and coverage for you and your family
95,insurance_and_service_products,travel_insurance,Travel insurance with 50000₽ coverage amount and policy cost 5000₽ with reliable partner PSB Insurance
96,insurance_and_service_products,real_estate_check,Real estate verification service with installment payment option and profitable without unexpected risks and online consultation by phone video or personal account
97,insurance_and_service_products,universal_protection,Universal protection with money on your cards insured against any fraudster actions and compensation if card is lost or money is illegally written off or cash taken at ATM and subscription payment for any term
98,insurance_and_service_products,home_cashback,Home cashback service where service value in certificate is much higher than its cost and reliable in partnership with Legal Solutions LLC and online arrangement from home or any PSB office
99,insurance_and_service_products,osago_insurance,OSAGO insurance available for all Russian territory including new regions and reliable with leading insurance companies and online connection in 3 minutes
100,insurance_and_service_products,job_loss_insurance,Job loss insurance with up to 5 months financial support and reliable in partnership with PSB Insurance LLC and online arrangement from home or any PSB office
101,insurance_and_service_products,just_in_case_insurance,Just in case accident insurance with up to 2.9 million₽ payout for risks and can be arranged in 5 minutes at any PSB office and reliable in partnership with PSB Insurance
102,insurance_and_service_products,road_assistance,Road assistance service from 5000₽ where service value in certificate is much higher than its cost and 24/7 technical service on roads across Russia and reliable in partnership with Legal Solutions LLC
103,insurance_and_service_products,comprehensive_financial_protection,Comprehensive financial protection programs for various life situations and insurance needs
104,mortgage_from_devs,zhk_ostrov_residential,ZK Ostrov residential complex with individual discount offer
105,mortgage_from_devs,zhk_rumyantsevo_park_residential,ZK Rumyantsevo-Park residential complex with 1% discount
106,mortgage_from_devs,zhk_sobytie_residential,ZK Sobytie residential complex with individual discount offer
107,mortgage_from_devs,dolina_setun_residential,Dolina Setun residential complex with individual discount offer
108,mortgage_from_devs,zhk_zarechie_park_residential,ZK Zarechye Park residential complex with 2% discount
109,mortgage_from_devs,zhk_businovsky_park_residential,ZK Businovsky Park residential complex with special offer
110,mortgage_from_devs,zhk_kipel_residential,ZK Kipel residential complex with 1% discount
111,mortgage_from_devs,zhk_leningradka_58_residential,ZK Leningradka 58 residential complex with 5% discount
112,mortgage_from_devs,zhk_nevsky_residential,ZK Nevsky residential complex with special offer
113,mortgage_from_devs,zhk_losinoostrovsky_park_residential,ZK Losinoostrovsky Park residential complex with special offer
114,mortgage_from_devs,zhk_kvartal_domashny_residential,ZK Kvartal Domashny residential complex with 2% discount
115,mortgage_from_devs,zhk_preobrazhenskaya_ploshchad_residential,ZK Preobrazhenskaya Ploshchad residential complex with individual discount
116,mortgage_from_devs,zhk_dialog_residential,ZK Dialog residential complex with individual discount
117,mortgage_from_devs,zhk_lyublinsky_park_residential,ZK Lyublinsky Park residential complex with special offer
118,mortgage_from_devs,zhk_krasnokazarmennaya_15_residential,ZK Krasnokazarmennaya 15 residential complex with special offer
119,mortgage_from_devs,zhk_sky_house_residential,ZK Sky House residential complex with individual terms from developer
120,mortgage_from_devs,zhk_headliner_residential,ZK Headliner residential complex with 1% discount
121,mortgage_from_devs,zhk_capital_towers_residential,ZK Capital Towers residential complex with individual terms from developer
122,mortgage_from_devs,zhk_red7_residential,ZK RED7 residential complex with individual discount
123,mortgage_from_devs,zhk_dom_na_zorge_residential,ZK Dom na Zorge residential complex with individual discount
124,mortgage_from_devs,zhk_kronshtadtsky_14_residential,ZK Kronshtadtsky 14 residential complex with special offer
125,mortgage_from_devs,zhk_molzhaninovo_residential,ZK Molzhaninovo residential complex with 2% discount
126,mortgage_from_devs,zhk_dmitrovsky_park_residential,ZK Dmitrovsky Park residential complex with special offer
127,mortgage_from_devs,zhk_kronshtadtsky_9_residential,ZK Kronshtadtsky 9 residential complex with special offer
128,mortgage_from_devs,zhk_volokolamskoe_24_residential,ZK Volokolamskoe 24 residential complex with special offer
129,mortgage_from_devs,zhk_troparevo_park_residential,ZK Troparevo Park residential complex with 2% discount
130,mortgage_from_devs,zhk_rublevsky_kvartal_residential,ZK Rublevsky Kvartal residential complex with 2% discount
131,mortgage_from_devs,zhk_vereyskaya_41_residential,ZK Vereyskaya 41 residential complex with 2% discount
132,mortgage_from_devs,zhk_kvartal_aviatorov_residential,ZK Kvartal Aviatorov residential complex with 2% discount
133,mortgage_from_devs,zhk_matveevsky_park_residential,ZK Matveevsky Park residential complex with special offer
134,mortgage_from_devs,zhk_desnarechye_residential,ZK Desnarechye residential complex with individual discount
135,mortgage_from_devs,zhk_kvartal_zapadny_residential,ZK Kvartal Zapadny residential complex with 2% discount
136,mortgage_from_devs,zhk_podolskie_kvartaly_residential,ZK Podolskie Kvartaly residential complex with 2% discount
137,mortgage_from_devs,zhk_alkimovo_residential,ZK Alkimovo residential complex with 2% discount
138,mortgage_from_devs,zhk_kvartal_maryino_residential,ZK Kvartal Maryino residential complex with 2% discount
139,mortgage_from_devs,zhk_volzhsky_park_residential,ZK Volzhsky Park residential complex with special offer
140,mortgage_from_devs,zhk_oranzh_park_residential,ZK Oranzh Park residential complex with special offer
141,mortgage_from_devs,zhk_simvol_residential,ZK Simvol residential complex with individual discount
142,mortgage_from_devs,zhk_1_yuzhny_residential,ZK 1st Yuzhny residential complex with 2% discount
143,mortgage_from_devs,zhk_kavkazsky_bulvar_51_residential,ZK Kavkazsky Bulvar 51 residential complex with special offer
144,mortgage_from_devs,zhk_wave_residential,ZK Wave residential complex with 7% discount
145,mortgage_from_devs,zhk_crystal_residential,ZK Crystal residential complex with special offer
146,mortgage_from_devs,zhk_kolskaya_8_residential,ZK Kolskaya 8 residential complex with special offer
147,mortgage_from_devs,zhk_ilove_residential,ZK ILOVE residential complex with 1% discount
148,mortgage_from_devs,zhk_zilart_residential,ZK Zilart residential complex with 7% discount
149,mortgage_from_devs,zhk_novodanilovskaya_8_residential,ZK Novodanilovskaya 8 residential complex with 2% discount
150,mortgage_from_devs,zhk_pyatnitskie_luga_residential,ZK Pyatnitskie Luga residential complex with 2% discount
151,mortgage_from_devs,zhk_mitinsky_les_residential,ZK Mitinsky Les residential complex with special offer
152,mortgage_from_devs,zhk_vrubelya_4_residential,ZK Vrubelya 4 residential complex with individual discount
153,mortgage_from_devs,zhk_wellton_towers_residential,ZK Wellton Towers residential complex with special offer
154,mortgage_from_devs,zhk_zapadny_port_residential,ZK Zapadny Port residential complex with special offer
155,mortgage_from_devs,zhk_will_towers_residential,ZK Will Towers residential complex with individual discount
156,mortgage_from_devs,zhk_luchi_residential,ZK Luchi residential complex with 3% discount
157,mortgage_from_devs,zhk_west_garden_residential,ZK WestGarden residential complex with individual discount
158,mortgage_from_devs,zhk_vesterdam_residential,ZK Westerdam residential complex with individual discount
159,mortgage_from_devs,zhk_main_street_residential,ZK MainStreet residential complex with individual discount
